"a","b","c","d","e","f","g"
"C:\Program Files\Cisco\AMP\clamav\0.100.0.59\api-ms-win-core-profile-l1-1-0.dll",18112,20480,2018/08/23 10:48:17,32,0,0
"C:\Program Files\Cisco\AMP\clamav\0.100.0.59\api-ms-win-core-rtlsupport-l1-1-0.dll",18616,20480,2018/08/23 10:48:17,32,0,0
"C:\Program Files\Cisco\AMP\clamav\0.100.0.59\api-ms-win-core-string-l1-1-0.dll",18624,20480,2018/08/23 10:48:17,32,0,0
"C:\Program Files\Cisco\AMP\clamav\0.100.0.59\api-ms-win-core-synch-l1-1-0.dll",20672,24576,2018/08/23 10:48:17,32,0,0
"C:\Program Files\Cisco\AMP\clamav\0.100.0.59\api-ms-win-core-synch-l1-2-0.dll",19136,20480,2018/08/23 10:48:17,32,0,0
"C:\Program Files\Cisco\AMP\clamav\0.100.0.59\api-ms-win-core-sysinfo-l1-1-0.dll",19648,20480,2018/08/23 10:48:17,32,0,0
"C:\Program Files\Cisco\AMP\clamav\0.100.0.59\api-ms-win-core-timezone-l1-1-0.dll",18624,20480,2018/08/23 10:48:17,32,0,0
"C:\Program Files\Cisco\AMP\clamav\0.100.0.59\api-ms-win-core-util-l1-1-0.dll",18624,20480,2018/08/23 10:48:17,32,0,0
"C:\Program Files\Cisco\AMP\clamav\0.100.0.59\api-ms-win-crt-conio-l1-1-0.dll",19648,20480,2018/08/23 10:48:17,32,0,0
"C:\Program Files\Cisco\AMP\clamav\0.100.0.59\api-ms-win-crt-convert-l1-1-0.dll",22720,24576,2018/08/23 10:48:17,32,0,0
"C:\Program Files\Cisco\AMP\clamav\0.100.0.59\api-ms-win-crt-environment-l1-1-0.dll",19136,20480,2018/08/23 10:48:17,32,0,0